Class,Total,Basis,Type,Class,Year
CLERICAL HF,-4400,Cash,Expenses,CLERICAL HF,2024
HF SUPPLY,212.04,Accrual,Income,HF SUPPLY,2022
HF TRUCKING OPERATION,9168.44,Accrual,Income,HF TRUCKING OPERATION,2024
HF TRUCKING OPERATION,-46547.36,Cash,Expenses,HF TRUCKING OPERATION,2021
HF TRUCKING OPERATION,5805.91,Cash,Expenses,HF TRUCKING OPERATION,2024
LABOR HIRE,1174.41,Cash,Expenses,LABOR HIRE,2024
MACHINE HIRE,-384344.5,Cash,Expenses,MACHINE HIRE,2020
MACHINE HIRE,-81663.11,Cash,Expenses,MACHINE HIRE,2021
MACHINE HIRE,-71168.58,Cash,Expenses,MACHINE HIRE,2023
MACHINE HIRE,-62637.72,Cash,Expenses,MACHINE HIRE,2024
MACHINE HIRE,1335023.44,Cash,Income,MACHINE HIRE,2021
MACHINE HIRE,8532.68,Cash,Income,MACHINE HIRE,2023
OVERHEAD,-3651.8,Accrual,Expenses,OVERHEAD,2021
OVERHEAD,-477.89,Accrual,Expenses,OVERHEAD,2022
OVERHEAD,-6600,Accrual,Expenses,OVERHEAD,2023
OVERHEAD,251.72,Accrual,Income,OVERHEAD,2022
OVERHEAD,21403.79,Accrual,Income,OVERHEAD,2023
OVERHEAD,-2768610.27,Cash,Expenses,OVERHEAD,2020
OVERHEAD,-1103381.91,Cash,Expenses,OVERHEAD,2021
OVERHEAD,-1112297.85,Cash,Expenses,OVERHEAD,2022
OVERHEAD,-1692884.18,Cash,Expenses,OVERHEAD,2023
OVERHEAD,-299315.86,Cash,Expenses,OVERHEAD,2024
OVERHEAD,36528.24,Cash,Income,OVERHEAD,2020
OVERHEAD,13059.51,Cash,Income,OVERHEAD,2021
OVERHEAD,1482008.64,Cash,Income,OVERHEAD,2022
OVERHEAD,1176185.96,Cash,Income,OVERHEAD,2023
TRANSPORTATION,-16736.8,Cash,Expenses,TRANSPORTATION,2020
TRANSPORTATION,-290105.01,Cash,Expenses,TRANSPORTATION,2021
TRANSPORTATION,-788534.72,Cash,Expenses,TRANSPORTATION,2022
TRANSPORTATION,-386173.08,Cash,Expenses,TRANSPORTATION,2023
TRANSPORTATION,-1167744.25,Cash,Expenses,TRANSPORTATION,2024
TRANSPORTATION,1826623.13,Cash,Income,TRANSPORTATION,2020
TRANSPORTATION,421.6,Cash,Income,TRANSPORTATION,2021
TRANSPORTATION,310617.06,Cash,Income,TRANSPORTATION,2022
TRANSPORTATION,117373.55,Cash,Income,TRANSPORTATION,2023
